name_pinyin,name_hanzi,birth,service,current_post,post_status,rank,network_notes,projection_tier,corruption_exposure,political_risk,confidence_tag
Xi Jinping,习近平,1953,CMC,CMC Chairman,incumbent,—,paramount leader,CMC chair all horizons,n/a,n/a,OFFICIAL
Zhang Shengmin,张升民,1958-02,Rocket Force (political),CMC Vice Chairman,incumbent,General,discipline/political track; last 20th-CMC survivor,2031 senior VC (elder),low-moderate,low (while Xi needs him),OFFICIAL
Dong Jun,董军,1961,Navy,Defense Minister,incumbent (no CMC seat/State Councilor),Admiral,ESF surface; twice investigated & survived; Jamestown tips for CMC seat,2031 CMC member candidate,moderate,moderate,OFFICIAL
Zhang Shuguang,张曙光,1964,Army (discipline),CMC DIC Secretary + Supervision Commission Director,incumbent (since Jul 2026),General,pure discipline-inspection track,2031 senior VC candidate,low-moderate,low near-term,OFFICIAL
Wang Gang,王刚,1965,Air Force,PLAAF Commander,incumbent (since Jul 2026),General,training/staff aviator; unaffiliated riser,2031 CMC member / VC candidate,low-moderate (new signing authority),moderate,OFFICIAL
Yang Zhibin,杨志斌,1963-04,Air Force,Eastern TC Commander,incumbent (GEN Dec 2025),General,Fuzhou AF service; Shaanxi MD; first aviator to command ETC,2031 CMC member,low,moderate,OFFICIAL
Han Shengyan,韩胜延,1963-05,Air Force,Central TC Commander,incumbent (GEN Dec 2025),General,Dingxin test base; Sept 2025 parade commander as LTG,2031 CMC member,low,moderate,OFFICIAL
Zhang Zheng,张峥,1969-09,Navy,Navy COS / de facto Navy chief,acting (since Dec 2025),Vice Admiral,first Liaoning captain; UK-trained; carrier community; Zhejiang,#1 riser: Navy cmdr 2031 -> CMC 2032 -> VC 2037,low,ordinary,WIKI/REPORTED
Zhu Chuansheng,祝传生,1970-04,Marines/joint,presiding over Joint Staff Dept,acting (since Jan 2026),Vice Admiral,ex-Marine Corps cmdr; amphibious/Taiwan; jumped a generation,#2 riser: CJS -> CMC member,low,ordinary,WIKI
Dai Mingmeng,戴明盟,1971-08,Navy,South Sea Fleet commander (probable),probable (VADM Dec 2025),Vice Admiral,first J-15 carrier landing; carrier aviation hero,Navy cmdr early-mid 2030s,low,ordinary,WIKI+inference
Liu Zhe,刘喆,1970-12,Navy,Deputy Director CMC Joint Operations Command Center,incumbent,Vice Admiral,second Liaoning captain; AMS doctorate; war-room track,theater cmdr / CJS candidate 2036,low,ordinary,WIKI
Chen Zhiguo,陈治国,1976,Navy,Captain of carrier Fujian (CV-18),incumbent (senior captain),Senior Captain,youngest PLAN capital-ship commander; commissioned Nov 2025,2041 reference name; flag rank imminent,low,ordinary,OFFICIAL/WIKI
Huang Xucong,黄旭聪,1968-08,Army,Central TC Chief of Staff & Deputy Commander,incumbent (LTG Mar 2024),Lieutenant General,74th GA cmdr; Zhejiang native; alt 20th CC; overseas delegations,best young ground-force credential; theater cmdr ~2027-30,low,low-moderate,WIKI
Peng Jingtang,彭京堂,~1965,PAP/Army,Acting Northern TC Commander,acting (since Apr 2026),Lieutenant General,Xinjiang PAP CT; HK Garrison cmdr 2022-25; internal-security profile,theater cmdr; internal-security template,moderate (construction-adjacent),low-moderate (protected),WIKI
Cai Zhijun,蔡志军,unknown,Army,Army Chief of Staff (running the service),incumbent (since Jul 2025),Lieutenant General,ex-JSD Operations Bureau dep dir; staff technocrat,potential Army commander,low,moderate,WIKI
Hu Zhongqiang,胡中强,unknown,Army,Southern TC Ground Force Commander,incumbent (since May 2023),Lieutenant General,ex-73rd GA cmdr 2017-22 (Taiwan corps),theater commander candidate,low,moderate,WIKI
Bi Yi,毕毅,1965,Army/strategic,Information Support Force Commander,incumbent (since Apr 2024),Lieutenant General,training-system generalist; sole surviving Apr-2024 principal,ISF-track CMC seat if promoted,low-moderate,moderate,WIKI
Wu Junbao,吴俊宝,1965-05,Air Force,Eastern TC Air Force Commander,incumbent (since Dec 2021),Lieutenant General,ex-Shanghai Base; CSIS-named riser,next PLAAF commander candidate,low,ordinary,WIKI
Chen Demin,陈德民,~late-1960s,Air Force (political),presiding over CMC Political Work Dept,acting (since Dec 2025),Lieutenant General,ex-Airborne Corps PC; discipline-adjacent,PWD director -> CMC member if regularized,low,moderate (countersigns everything),WIKI
Xia Zhihe,夏志和,unknown,Navy (discipline/political),National Defense University PC,incumbent (since Oct 2025),Vice Admiral,discipline-track; replaced Zhong Shaojun,PWD director candidate,low,low-moderate,REPORTED
Hu Yuhai,胡瑜海,unknown,Navy (political),running Navy political work,acting (since Dec 2025),Vice Admiral,CCDI member; enforcer mold,Navy PC candidate,low,low-moderate,WIKI/REPORTED
Lei Kai,雷凯,unknown,Rocket Force,Acting Rocket Force Commander,acting (since Dec 2025),Lieutenant General,missile-native; unpublished bio,RF commander if trust restored,moderate-high (portfolio),moderate,WIKI/REPORTED
